000000
000033
003300
003333
003366
330000
330033
333300
333333
333366
336633
336666
336699
339999
660000
660033
663300
663333
663366
666633
666666
666699
669966
669999
6699CC
990000
990033
993300
993333
996600
996633
996666
996699
999933
999966
999999
9999CC
99CC99
99CCCC
99CCFF
CC0033
CC3333
CC6600
CC6633
CC9900
CC9933
CC9966
CC9999
CC99CC
CCCC66
CCCC99
CCCCCC
CCCCFF
CCFFCC
CCFFFF
FF3333
FF9900
FF9933
FF9966
FFCC00
FFCC33
FFCC66
FFCC99
FFCCCC
FFCCFF
FFFFCC
FFFFFF
