CCCCCC
FFFFFF
FFFFCC
FFCCFF
FFCCCC
FFCC99
FFCC66
FFCC33
FFCC00
FF9966
FF9933
FF9900
FF3333
CCFFFF
CCFFCC
CCCCFF
CCCC99
CCCC66
CC99CC
CC9999
CC9966
CC9933
CC9900
CC6633
CC6600
CC3333
CC0033
99CCFF
99CCCC
99CC99
9999CC
6699CC
999999
999966
999933
996699
996666
996633
996600
993333
993300
990033
990000
669999
669966
666699
666666
666633
663366
663333
663300
660033
660000
339999
336699
336666
336633
333366
333333
333300
330033
330000
003366
003333
003300
000033
000000
